AR,lambda,aoaRoot (deg),aoaTip (deg),rpm_cfd,eta_cfd_single
4.0001,0.2746,29.9998,7.9999,3999.9872986841433,0.3754166523806999
4.0001,0.437,29.9998,7.3334,3999.9872986841433,0.3780396206442889
4.0004,0.5805,29.9731,6.4803,3999.9618960524313,0.361270817906043
4.0004,0.6098,29.9995,7.9998,2610.3871361073006,0.3490597140261765
4.0341,0.7784,17.2929,2.949,1809.7246736281525,0.1801547589879429
4.0341,0.7784,19.7239,2.949,3262.1558420351903,0.2101628486040684
4.8418,0.8227,20.3571,6.7718,1445.9078221332077,0.2718030667527335
4.8418,0.8227,23.8095,6.7718,2807.3847776665098,0.2942481365635548
5.5817,0.4574,21.8971,6.1566,2131.085049567071,0.3092133196812726
5.5817,0.4574,25.8627,6.1566,3663.856311958839,0.3353237821859475
5.9792,0.4413,23.5457,3.7737,1492.9185991725192,0.2965365717017731
5.9792,0.4413,28.061,3.7737,2866.1482489656487,0.3157900902697353
6.4514,0.5174,12.2841,7.6712,1731.3414303229836,0.2216772053458107
6.4514,0.5174,13.0454,7.6712,3164.1767879037297,0.2301088176785202
7.2542,0.5338,13.3467,4.462,1219.318276307928,0.1663067612792618
7.2542,0.5338,14.4622,4.462,2524.1478453849104,0.18486948213117
7.3749,0.2521,14.9726,3.9916,1916.294353366875,0.2395517876126495
7.3749,0.2521,16.6301,3.9916,3395.367941708594,0.2658858341457299
8.2628,0.9702,11.2882,5.129,1661.9249288580002,0.1271826637253036
8.2628,0.9702,11.7177,5.129,3077.4061610725003,0.1338118863290201
9.0363,0.716,14.5835,4.8966,2344.8285507879805,0.1806864793027176
9.0363,0.716,16.1114,4.8966,3931.035688484976,0.1991212858644689
9.1059,0.9372,24.4564,4.7254,1938.6589388105376,0.2236653014092579
9.1059,0.9372,29.2752,4.7254,3423.323673513172,0.2585448578173637
10.115,0.5705,22.3901,2.2389,2225.364945680799,0.2151733892399313
10.115,0.5705,26.5202,2.2389,3781.7061821009997,0.2501339599161378
10.5724,0.3287,20.0384,6.8897,1379.8986527494271,0.2443093237589169
10.5724,0.3287,23.3845,6.8897,2724.8733159367835,0.2672561144445891
10.7934,0.9107,19.2528,3.4789,1297.0029623762075,0.1549628789385411
10.7934,0.9107,22.3371,3.4789,2621.2537029702594,0.18726350272702
11.6469,0.8462,18.6962,7.8289,1992.6985825188306,0.2215160956498692
11.6469,0.8462,21.595,7.8289,3490.873228148538,0.2308920816383287
12.2263,0.6179,10.082,2.4158,1717.7761521501475,0.0830344223048975
12.2263,0.6179,10.1094,2.4158,3147.2201901876842,0.0792066690162716
12.6275,0.2819,16.243,7.1398,2173.942506381518,0.2191888872414866
12.6275,0.2819,18.324,7.1398,3717.428132976898,0.2502130214389922
13.1485,0.7759,14.1765,7.4684,1295.6410090162583,0.2257973141380871
13.1485,0.7759,15.5687,7.4684,2619.5512612703224,0.2498564035275065
13.725,0.2227,24.2568,4.3709,1847.1439690614511,0.2102767552929225
13.725,0.2227,29.009,4.3709,3308.929961326814,0.2274447332393668
14.2372,0.4157,18.1193,2.5978,1411.6363590397823,0.1664528647211429
14.2372,0.4157,20.8258,2.5978,2764.5454487997276,0.1973214521085162
14.8932,0.3265,11.1718,5.4345,1564.7917989906305,0.1331299120423757
14.8932,0.3265,11.5624,5.4345,2955.9897487382877,0.148304420144622
15.4122,0.5908,23.0412,5.6141,2392.4735855170175,0.2733233694967971
15.4122,0.5908,27.3883,5.6141,3990.591981896272,0.3010294073416776
16.0778,0.3694,15.4469,3.4277,2258.814254451674,0.1578276336411693
16.0778,0.3694,17.2625,3.4277,3823.5178180645926,0.17838443359353
16.3802,0.8926,16.8524,3.064,2025.8966192471762,0.1735570633336699
16.3802,0.8926,19.1365,3.064,3532.3707740589707,0.2058748953099969
17.3298,0.6688,21.1338,5.9298,1604.3017917646134,0.2373044673324068
17.3298,0.6688,24.845,5.9298,3005.377239705767,0.2798971241665233
17.8879,0.6978,12.6782,6.356,2076.3239520517204,0.1884430380207127
17.8879,0.6978,13.5709,6.356,3595.404940064651,0.2226888291377542
